L1=0,L2=0,N=464
0X1.9E7ECACCC7EECP-2	0X1.8DAFB22B7D5A8P-5	-0X1.602689242ECA2P-7	-0X1.AE96204203547P-8	
0X1.9E7ECACCC7EEFP-2	0X1.8DAFB22B7D5A9P-5	-0X1.602689242ECA4P-7	-0X1.AE96204203548P-8	
0X1.6560B748CEAF2P+1	-0X1.FB43A211641CCP-6	0X1.1C99F27549034P-2	-0X1.960FFB869F15AP-6	
0X1.6560B4E2D8DD5P+1	-0X1.16A498BE029B2P-3	-0X1.ED795B9F63824P-3	0X1.8433CA3BBDAAP-5	
0X1.A76CA0D276C7FP+1	-0X1.AEEFC763DC0E6P-5	0X1.A5E04D595D44CP-2	-0X1.2436E808421C4P-5	
0X1.A76C9F1777076P+1	-0X1.A99B93C4D835P-3	-0X1.6AD673618DF01P-2	0X1.2278B6B1EB4B2P-4	
0X1.56B66A9704FA9P-2	0X1.46152A72D64DP-5	-0X1.20BEE840C66F7P-7	-0X1.610F20CD45EF7P-8	
0X1.56B66A9704FAAP-2	0X1.46152A72D64DP-5	-0X1.20BEE840C66F6P-7	-0X1.610F20CD45EF8P-8	
0X1.666FBDC19F121P-2	-0X1.458328889986DP-8	0X1.CBFE8D8FC1606P-6	-0X1.21CCCBD5FFFP-9	
0X1.666FBDC19F121P-2	-0X1.458328889986DP-8	0X1.CBFE8D8FC1606P-6	-0X1.21CCCBD5FFFP-9	
0X1.666FBA361384P-2	-0X1.F9771B2178488P-7	-0X1.820728352331CP-6	0X1.45C644FA486E2P-8	
0X1.666FBA361384P-2	-0X1.F9771B2178488P-7	-0X1.820728352331CP-6	0X1.45C644FA486E2P-8	
0X1.42C6DB35715BEP+1	0X1.83E849597274P-2	-0X1.577D2E79E513EP-4	-0X1.A3FFBAC459439P-5	
0X1.A864D790C36BCP-2	-0X1.529F9160FBBDDP-8	0X1.28F32647CE73FP-5	-0X1.9023C342CA806P-9	
0X1.A864D790C36BCP-2	-0X1.529F9160FBBDDP-8	0X1.28F32647CE73FP-5	-0X1.9023C342CA806P-9	
0X1.A864D3FA94F3AP-2	-0X1.33A4933C4AB46P-6	-0X1.FB0C8873E202EP-6	0X1.9C71A84302DCP-8	
0X1.A864D3FA94F3AP-2	-0X1.33A4933C4AB46P-6	-0X1.FB0C8873E202EP-6	0X1.9C71A84302DCP-8	
0X1.6CBEF27D9F1E6P-2	-0X1.46B5015156EF8P-8	0X1.D86CCC330A84AP-6	-0X1.2C0CD4E876C2P-9	
0X1.6CBEEEF1049E4P-2	-0X1.01D32DBCDA657P-6	-0X1.8D43D0E2DEB5EP-6	0X1.4DD1630BABFC8P-8	
0X1.3AE210D718BC8P-2	0X1.2EE74D3AA719P-5	-0X1.0C38734BF11B6P-7	-0X1.47F65E5462F7AP-8	
0X1.2562F50A9A98BP+2	0X1.02BAA6EDCCAFP-2	0X1.785B7CC3CB325P-3	-0X1.EA03750F9178EP-5	
0X1.2561DB5E29BF1P+2	0X1.47221F01F5AC8P-3	-0X1.19A70026DDAA4P-2	0X1.062C29222FEE2P-8	
0X1.2EBB7573EDD16P+1	0X1.A236D891A3D1EP-2	-0X1.7252D9AD6A0E4P-4	-0X1.C4D043472FC7EP-5	
0X1.248C7D8E599A2P-2	0X1.34394647BC35AP-5	-0X1.10EE40163C5C4P-7	-0X1.4DB90F5E4D9AEP-8	
0X1.248C7D8E599A2P-2	0X1.34394647BC35AP-5	-0X1.10EE40163C5C4P-7	-0X1.4DB90F5E4D9AEP-8	
0X1.F9383088A5CAAP+0	-0X1.2A648A1FD6016P-3	0X1.1B781D20BFF13P-4	0X1.025F35074A1C7P-6	
0X1.F93824D801388P+0	-0X1.47BADE9BC900CP-3	-0X1.9091D7338196P-10	0X1.A38D2255798FCP-6	
0X1.447C3B968D914P-2	-0X1.007C087CBCB52P-8	0X1.C92906107C864P-6	-0X1.3556FA75A2733P-9	
0X1.447C38E13571P-2	-0X1.D7B6E0487D486P-7	-0X1.86BF896AEBE6EP-6	0X1.3D10C73BE1152P-8	
0X1.30656EADDE99P-2	-0X1.C04C319762524P-9	0X1.C72C9D08FBFA8P-6	-0X1.3DEE194F591F5P-9	
0X1.30656C66739ACP-2	-0X1.C764BB0666217P-7	-0X1.885B864D766P-6	0X1.3890F4447DFDDP-8	
0X1.91772DC9D5E48P+0	-0X1.9E56B7C52AAFCP-4	-0X1.5DB3085307A11P-3	0X1.1945191821F3P-5	
0X1.91772F469712AP+0	-0X1.AE7A98E15FBB2P-6	0X1.977A376A56DB5P-3	-0X1.17F9337A24B5FP-6	
0X1.1043917D3A398P-2	0X1.21926613E767EP-5	-0X1.006A19CBA4996P-7	-0X1.39872A5F18212P-8	
0X1.E833D0E5A8158P+2	0X1.1231B3ECC92E4P-2	0X1.20AF903D77B29P-1	-0X1.A5383CDB0278AP-4	
0X1.E83358BBFBA8EP+2	0X1.ACFC187BE3FE8P-6	-0X1.41FFB4A6591P-1	0X1.0243183E4C1DP-4	
0X1.0B42F59603E4AP-3	0X1.F3ABE70D68BFCP-7	-0X1.BA756BCD0B484P-9	-0X1.0E811B032385CP-9	
0X1.1E523CF884BCP+0	-0X1.BF84CB658846AP-5	-0X1.8CA2805F16F42P-4	0X1.37E48506BA14FP-6	
0X1.1E523EE1EBD58P+0	-0X1.963C6E959BE5AP-7	0X1.C96AA35365321P-4	-0X1.468A0A4B8FACP-7	
0X1.186E95FDAED3P-3	-0X1.041A6523AACDAP-9	0X1.62BB82E0700EAP-7	-0X1.B930E661E9BA2P-11	
0X1.186E93259498BP-3	-0X1.89F2B812DB315P-8	-0X1.28BAFF65407BAP-7	0X1.F844CA8C0C60AP-10	
0X1.8D09D8BD4674EP-3	0X1.C2070DD96B29EP-6	-0X1.8E7F17D8DF15DP-8	-0X1.E7421B240D636P-9	
0X1.98CA9A2EEA831P-2	-0X1.2B1BE022D8ADP-8	0X1.33C6307A29C6EP-5	-0X1.AF39CF239B75FP-9	
0X1.98CA9729178CFP-2	-0X1.33012F5AE1FBBP-6	-0X1.09831D26FAA2CP-5	0X1.A64AFB9657728P-8	
0X1.7310A13ED8652P+1	0X1.ED012BCE8102CP-2	-0X1.B48D092CB81CAP-4	-0X1.0AE54053D2ED6P-4	
0X1.D7E9CB00A9376P-4	-0X1.A96A9E8FDCD0FP-10	0X1.30501A8D5FB7EP-7	-0X1.811DF7687D03CP-11	
0X1.D7E9C6602BBDDP-4	-0X1.4D306AFA31B5P-8	-0X1.FF517C5D16FAEP-8	0X1.AE82907B267B6P-10	
0X1.9BE1E3A9BEB42P-4	0X1.8A42436093282P-7	-0X1.5D1D9419EE315P-9	-0X1.AAE01A48CCEA5P-10	
0X1.10C0678E87ABFP-1	-0X1.B19E791AE624CP-8	0X1.7EB7AF7BFBEC3P-5	-0X1.024D798EBAA0EP-8	
0X1.10C0654359053P-1	-0X1.8BDB6EA82C9D6P-6	-0X1.46E5FFCAB72BCP-5	0X1.09A4FB916FCEAP-7	
0X1.68B12C1AB8F93P-2	0X1.9B96CC5F85A4EP-5	-0X1.6C759870FC662P-7	-0X1.BDA3C578434C4P-8	
0X1.406B3769A875AP+2	0X1.60D63CA5A8AACP-5	0X1.03F1B51236B1DP-1	-0X1.F49F9C970FEE2P-5	
0X1.406AC1256A1BCP+2	-0X1.427ABDA9082E6P-3	-0X1.EDF2E8F70ECBAP-2	0X1.39B8861CC8578P-4	
0X1.FD15A6B607CE5P-2	0X1.0CEDBA7FD3C3AP-4	-0X1.DC4520D970883P-7	-0X1.232D4B8108024P-7	
0X1.E9EA63834F16EP+0	0X1.0025AB4C3C4B2P-2	0X1.44CCD873C7A81P-5	-0X1.6888D0454FD7AP-5	
0X1.E9E903B1DA73P+0	0X1.B4D62117CA96AP-3	-0X1.235047079EEC4P-3	-0X1.32950537735FDP-6	
0X1.C23E6D1EF150CP-5	-0X1.92C54A948376AP-11	0X1.23D49EB379CDAP-8	-0X1.72F93960D6C18P-12	
0X1.C23E6D1EF1508P-5	-0X1.92C54A9483764P-11	0X1.23D49EB379CD8P-8	-0X1.72F93960D6C18P-12	
0X1.C23E68BF0E27CP-5	-0X1.3E55B1FCA1B81P-9	-0X1.EAE531F3CD6F2P-9	0X1.9C54EB465599EP-11	
