L1=0,L2=0,N=449
x=0X1.DBF9519ED0938P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0BP-1,eta=0X1.0F2F837B4A234P+6,c=0X1.21E0D8C00BD12P-1,bound=0X1.7B460CP-4,density=0X1.1DBE4A5310AECP+0;
x=0X1.935361043AD1CP+1,y=-0X1.3D3D84A28A732P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.9DF78AB0C88A4P+5,c=0X1.19BA7AA39CBC5P-1,bound=0X1.623736P-4,density=0X1.00A6BB5996002P-1;
x=0X1.935361043AD1CP+1,y=-0X1.3D3D84A28A732P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.9DF78AB0C88A4P+5,c=0X1.19BA7AA39CBC5P-1,bound=0X1.623736P-4,density=0X1.00A6BB5996002P-1;
x=0X1.DBF9519ED0938P+1,y=0X1.4B7A27B03FE42P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.9DF78AB0C88A4P+5,c=0X1.19BA7AA39CBC5P-1,bound=0X1.61BF2CP-4,density=0X1.004FC24428222P-1;
x=0X1.DBF9519ED0938P+1,y=0X1.4B7A27B03FE42P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.9DF78AB0C88A4P+5,c=0X1.19BA7AA39CBC5P-1,bound=0X1.61BF2CP-4,density=0X1.004FC24428222P-1;
x=0X1.935361043AD1BP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.5116C82E019B1P+3,c=0X1.552CD06C42F6P+0,bound=0X1.60A7D6P-4,density=-0X1.1B75675CBA684P-2;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.DB6A550870111P+3,c=0X1.30247955D552CP-2,bound=0X1.5DD30CP-4,density=0X1.57BBA919CA796P-1;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.DB6A550870111P+3,c=0X1.30247955D552CP-2,bound=0X1.5DD30CP-4,density=0X1.57BBA919CA796P-1;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.4211A975AFAF8P-1,c=0X1.4E2BC4B9ED8E7P-1,bound=0X1.5D00DAP-4,density=0X1.1B284F40DE719P-2;
x=0X1.DBF9519ED0936P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.5116C82E019B1P+3,c=0X1.552CD06C42F6P+0,bound=0X1.5CB834P-4,density=-0X1.184B7BFD73ED2P-2;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.0FF212D77319P+5,c=0X1.ADD30C6102C0DP-2,bound=0X1.5405CP-4,density=0X1.22C21AAC324AEP+0;
x=0X1.935361043AD1CP+1,y=-0X1.3D3D84A28A73P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.DEB9A176DDACFP+2,c=0X1.D52635D8E4F8FP-3,bound=0X1.2ECA78P-4,density=0X1.44F12457F0595P-1;
x=0X1.DBF9519ED0937P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.DEB9A176DDACFP+2,c=0X1.D52635D8E4F8FP-3,bound=0X1.2E9FBP-4,density=0X1.44C33B7ED9C6BP-1;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.2A2877EE4E26DP-2,c=0X1.25798BFC37C9CP-1,bound=0X1.2B5536P-4,density=0X1.C83129FCFBF8EP-4;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96FP-1,z=-0X1.CD1440A9B778FP-3,eta=0X1.9C47B890D5A5CP+4,c=0X1.905F548B1E1ABP-2,bound=0X1.221A1AP-4,density=0X1.F0FEC2B8A4EBBP-2;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96FP-1,z=-0X1.CD1440A9B778FP-3,eta=0X1.9C47B890D5A5CP+4,c=0X1.905F548B1E1ABP-2,bound=0X1.221A1AP-4,density=0X1.F0FEC2B8A4EBBP-2;
x=0X1.2BF00351DE785P+1,y=-0X1.ABE7345C4F96CP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.525A5FC7E6B4P+2,c=0X1.F792ECCDDDFFAP-1,bound=0X1.81E2DP-5,density=-0X1.61BED07E2D49AP-3;
x=0X1.935361043AD1DP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.02FD3C361134P+7,c=0X1.32D6D77277ADP-2,bound=0X1.55CA5P-5,density=0X1.1DFD294FF5024P+0;
x=0X1.DBF9519ED0938P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.02FD3C361134P+7,c=0X1.32D6D77277ADP-2,bound=0X1.557F2CP-5,density=0X1.1DBE4A5310AECP+0;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.D3E61CFFEB075P+1,c=0X1.965191ABC2C68P-4,bound=0X1.4BC8A2P-5,density=0X1.57BBA919CA796P-1;
x=0X1.935361043AD1BP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.44F9930BE0DEDP+8,c=0X1.46F020DA853D4P-2,bound=0X1.48C112P-5,density=0X1.44F12457F0595P-1;
x=0X1.935361043AD1BP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.44F9930BE0DEDP+8,c=0X1.46F020DA853D3P-2,bound=0X1.48C112P-5,density=0X1.44F12457F0595P-1;
x=0X1.DBF9519ED0937P+1,y=0X1.4B7A27B03FE4P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.44F9930BE0DEDP+8,c=0X1.46F020DA853D4P-2,bound=0X1.4892AP-5,density=0X1.44C33B7ED9C6BP-1;
x=0X1.DBF9519ED0937P+1,y=0X1.4B7A27B03FE4P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.44F9930BE0DEDP+8,c=0X1.46F020DA853D3P-2,bound=0X1.4892AP-5,density=0X1.44C33B7ED9C6BP-1;
x=0X1.2BF00351DE785P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778FP-3,eta=0X1.50010624DD2F2P+7,c=0X1.02DE2469044FAP-2,bound=0X1.44BCFP-5,density=0X1.57BBA919CA796P-1;
x=0X1.2BF00351DE785P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778FP-3,eta=0X1.50010624DD2F2P+7,c=0X1.02DE2469044F9P-2,bound=0X1.44BCFP-5,density=0X1.57BBA919CA796P-1;
x=0X1.2BF00351DE785P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778EP-3,eta=0X1.05AD916872B02P+6,c=0X1.DA6CF91D90258P-3,bound=0X1.3EA4E6P-5,density=0X1.22C21AAC324AEP+0;
x=0X1.68D2225E1F8F7P+1,y=-0X1.BD2D41F8E9825P-2,z=-0X1.5FDECA381BF51P-2,eta=0X1.7A66FD651B0CCP-1,c=0X1.EF4713C1CE4F7P-2,bound=0X1.27431EP-5,density=0X1.508E5E227F625P-3;
x=0X1.9EB5302CCBDD9P+1,y=-0X1.46F018918333EP-4,z=-0X1.CB42240F65DD2P-2,eta=0X1.639D2BF551506P+0,c=0X1.9E4E759FDE017P-2,bound=0X1.193B56P-5,density=0X1.C0B2DFD2FA79EP-3;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778FP-3,eta=0X1.8EDB4A2339C0FP+7,c=0X1.CF3B35ACD9592P-3,bound=0X1.165BDEP-5,density=0X1.57BBA919CA796P-1;
x=0X1.2BF00351DE786P+1,y=-0X1.ABE7345C4F96EP-1,z=-0X1.CD1440A9B778FP-3,eta=0X1.8EDB4A2339C0FP+7,c=0X1.CF3B35ACD9591P-3,bound=0X1.165BDEP-5,density=0X1.57BBA919CA796P-1;
x=0X1.935361043AD1CP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.82AC504816FP+8,c=0X1.15C47BC96D5B4P-2,bound=0X1.0B6EA8P-5,density=0X1.44F12457F0595P-1;
x=0X1.935361043AD1CP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.82AC504816FP+8,c=0X1.15C47BC96D5B4P-2,bound=0X1.0B6EA8P-5,density=0X1.44F12457F0595P-1;
x=0X1.DBF9519ED0937P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0BP-1,eta=0X1.82AC504816FP+8,c=0X1.15C47BC96D5B4P-2,bound=0X1.0B48EP-5,density=0X1.44C33B7ED9C6BP-1;
x=0X1.DBF9519ED0937P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0BP-1,eta=0X1.82AC504816FP+8,c=0X1.15C47BC96D5B4P-2,bound=0X1.0B48EP-5,density=0X1.44C33B7ED9C6BP-1;
x=0X1.9C18222B08B2AP+1,y=-0X1.8D71F3184A838P-4,z=-0X1.C60CD233D73D8P-2,eta=0X1.9AD31FCD24E16P-2,c=0X1.DC0FFA3B8BD32P-2,bound=0X1.0A613CP-5,density=0X1.0F2581EC238A6P-3;
x=0X1.4FB1EB4588526P+1,y=-0X1.6764EA5F7C6ACP+0,z=-0X1.ABB0EBA414EAEP-3,eta=0X1.7A66FD651B0CCP-1,c=0X1.EF4805E97089FP-2,bound=0X1.09D0EEP-5,density=0X1.2EFD594ECDAF6P-3;
x=0X1.6F57E93073963P+1,y=-0X1.E81F9739A48B6P+0,z=-0X1.8E23CC6EBDFBCP-3,eta=0X1.639D2BF551506P+0,c=0X1.9E4FF37AC9D01P-2,bound=0X1.FA5806P-6,density=0X1.93EC96038A0C8P-3;
x=0X1.C398501811834P+1,y=0X1.4E1AEF6062ECBP-3,z=-0X1.0A6264E2D9601P-1,eta=0X1.0D1E75360D025P+0,c=0X1.A484632A57EE5P-2,bound=0X1.ED215P-6,density=0X1.697E88889E215P-3;
x=0X1.935361043AD1DP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.6C77F38C5436BP+6,c=0X1.5DCD107977174P-3,bound=0X1.E3617AP-6,density=0X1.44F12457F0595P-1;
x=0X1.935361043AD1DP+1,y=-0X1.3D3D84A28A731P+1,z=-0X1.6C8AB7FE0D81EP-3,eta=0X1.6C77F38C5436BP+6,c=0X1.5DCD107977174P-3,bound=0X1.E3617AP-6,density=0X1.44F12457F0595P-1;
x=0X1.DBF9519ED0938P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.6C77F38C5436BP+6,c=0X1.5DCD107977174P-3,bound=0X1.E31D3P-6,density=0X1.44C33B7ED9C6BP-1;
x=0X1.DBF9519ED0938P+1,y=0X1.4B7A27B03FE41P-2,z=-0X1.22AD0F8FE2E0CP-1,eta=0X1.6C77F38C5436BP+6,c=0X1.5DCD107977174P-3,bound=0X1.E31D3P-6,density=0X1.44C33B7ED9C6BP-1;
