0X1.5B94E876DB825P+8	0X1.7B09966CFE64DP-37	-0X1.4B242C5230B27P-35	-0X1.3EDCA9B7E6266P-35	0X1.02D6E619B827P+0	0X1.5E9EB0E179F13P+4	-0X1.80826160A67AAP+2	-0X1.64D22E21FC7A2P+4	-0X1.8AF65BB26A0FEP+5	-0X1.AC468097AB52CP+6	
0X1.768B08D8C14D9P+8	0X1.BB1D60E04EACEP-37	-0X1.39713BA338A82P-35	-0X1.531C56535DC8BP-35	0X1.9CA00419EFF1BP-1	0X1.2593EE7B055CEP+4	-0X1.48F8E23F41578P+2	-0X1.80EE7F58B9761P+6	-0X1.DC48E6B215B92P+6	-0X1.4EBA26F63A0D7P+7	
0X1.5C1208C74CD4AP+8	0X1.E7B1373FB4E3BP-37	-0X1.A024DECB1FF4CP-36	-0X1.46F36F1B89206P-35	0X1.28416B28B5B0AP-1	0X1.8A60B9807D4FFP+3	-0X1.B7CB35DE1A664P+1	-0X1.34ABC0392C44CP+7	-0X1.5341F190992E9P+7	-0X1.9421A547E1911P+7	
0X1.F6ACDEEA9BA16P+7	0X1.B77D4381C65A7P-37	-0X1.1CA27229E14B5P-37	-0X1.F8391FAA64BCDP-36	0X1.718C88A57465EP-2	0X1.8D4EDBD6F58DP+2	-0X1.A6163B3CC28B3P+0	-0X1.1ABC31908922DP+7	-0X1.29D5334F2208CP+7	-0X1.4A886880C5C4CP+7	
0X1.EA8FCCF4D6756P+6	0X1.26FF52FE3AFB4P-38	-0X1.6867122B01067P-37	-0X1.2C0A533DAF3E6P-36	0X1.68666B7E93044P-2	0X1.E9DD40EBF03F3P+2	-0X1.0CF338565F8AP+1	-0X1.1CE9C66548884P+3	-0X1.25CD7F00124D5P+4	-0X1.341FB09B2332DP+5	
0X1.1D62D598ABDCCP+7	0X1.634D3D32CAFB7P-38	-0X1.970CF4D9EFF1EP-37	-0X1.2AE8181B1A378P-36	0X1.2E10B117DDD86P-2	0X1.ADD0ACC8ED0E9P+2	-0X1.E25048D4A4409P+0	-0X1.441B51F98432P+5	-0X1.870222414D186P+5	-0X1.0A34614907F35P+6	
0X1.2F7672FF6307P+7	0X1.C322E59E96156P-38	-0X1.1F9AAEB642679P-37	-0X1.2C805266344A9P-36	0X1.E71ADF3EAFDC2P-3	0X1.32743EC14DECFP+2	-0X1.522320CF51F6CP+0	-0X1.2A347C67E6C2EP+6	-0X1.41DCFB06F2935P+6	-0X1.74481119B2666P+6	
0X1.113310572E18AP+7	0X1.0D1B3B66526A8P-37	-0X1.10AD9210CE44EP-41	-0X1.221C329D36482P-36	0X1.76A2C2D2231F8P-3	0X1.4954DE1F08C74P+1	-0X1.47A02D1BA5E94P-1	-0X1.4662593997221P+6	-0X1.5294F4F88C566P+6	-0X1.6DB4E27F1FF46P+6	
0X1.7C0994F239E87P+6	0X1.BF81F2B8ADFD5P-38	0X1.F495A9D1EAAEEP-40	-0X1.811B342BE382DP-37	0X1.C629A328B83EAP-4	0X1.1C8C38D7C5536P+0	-0X1.DB1659DC4CCECP-3	-0X1.B6AEBDF595676P+5	-0X1.C09922E5293EP+5	-0X1.D80AF9E5355C4P+5	
0X1.364EC514EC2D6P+5	0X1.090CEF9021B76P-39	-0X1.481C1600939B9P-40	-0X1.4DA377DE90C19P-37	0X1.C52A357A03D8P-4	0X1.3471C8A85C45CP+1	-0X1.52E22C8EF0F2FP-1	-0X1.7B6354DE6029EP+1	-0X1.7C52FFED7CF64P+2	-0X1.893048EE7F754P+3	
